context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.0733765233805339e-05,1.1886359578294568e-06,7.594289378384605e-07,8.965006594135206e-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],2.1484523610559573e-05,2.377387615980721e-06,1.5190879498170753e-06,1.8410610350796273e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],4.303686082503617e-05,4.755246654858286e-06,3.0376075445376395e-06,3.874350837644556e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],8.634370248154599e-05,9.51244790513068e-06,6.076204063005289e-06,8.5175266885911e-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.00020109483224693846,1.9033264255314048e-05,1.2155194124957294e-05,0.00020109483224693846
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.000525073323171868,3.810438054572034e-05,2.428975327090412e-05,0.000525073323171868
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.0015405511590328928,7.639474066061606e-05,4.851395301419824e-05,0.0015405511590328928
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.005027614321871425,0.00015379964474648624,9.69000807759609e-05,0.005027614321871425
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-04 15:17:38,simulation0,512,4096,1.0,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.01762601178900353,0.00031351642488307443,0.00019210422937688136,0.01762601178900353
context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
