context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,use_radec,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,1,[0. 0.],1.07E-05,1.19E-06,7.59E-07,8.97E-06
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,2,[0. 0.],2.15E-05,2.38E-06,1.52E-06,1.84E-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,4,[0. 0.],4.30E-05,4.76E-06,3.04E-06,3.87E-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,8,[0. 0.],8.63E-05,9.51E-06,6.08E-06,8.52E-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,16,[0. 0.],0.000201095,1.90E-05,1.22E-05,0.000201095
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,32,[0. 0.],0.000525073,3.81E-05,2.43E-05,0.000525073
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,64,[0. 0.],0.001540551,7.64E-05,4.85E-05,0.001540551
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,128,[0. 0.],0.005027614,0.0001538,9.69E-05,0.005027614
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,04/06/2019 15:17,simulation0,512,4096,1,[0. 0.],0,1,FALSE,FALSE,FALSE,0,[1. 1.],0,256,[0. 0.],0.017626012,0.000313516,0.000192104,0.017626012
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,1,[0. 0.],1.62E-05,1.23E-06,7.88E-07,1.62E-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,2,[0. 0.],3.30E-05,2.47E-06,1.58E-06,3.30E-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,4,[0. 0.],6.79E-05,4.94E-06,3.15E-06,6.79E-05
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,8,[0. 0.],0.000143436,9.88E-06,6.30E-06,0.000143436
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,16,[0. 0.],0.000317656,1.98E-05,1.26E-05,0.000317656
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,32,[0. 0.],0.000758313,3.96E-05,2.52E-05,0.000758313
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,64,[0. 0.],0.002007148,7.95E-05,5.05E-05,0.002007148
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,128,[0. 0.],0.00595859,0.000160239,0.000100891,0.00595859
singlesource,pointing_simulation.py,./pointingsimulation_sheldon_1.jpg,sheldon,05/06/2019 10:14,simulation17,512,4096,1,[0. 0.],0,1,FALSE,FALSE,TRUE,0,[1. 1.],0,256,[0. 0.],0.019458995,0.000326884,0.000200172,0.019458995
,,,,,,,,,,,,,,TRUE,,,,1,[0. 0.],1.03E-05,1.34E-06,8.81E-07,
,,,,,,,,,,,,,,TRUE,,,,2,[0. 0.],2.81E-05,2.64E-06,1.74E-06,
,,,,,,,,,,,,,,TRUE,,,,4,[0. 0.],4.35E-05,5.31E-06,3.50E-06,
,,,,,,,,,,,,,,TRUE,,,,8,[0. 0.],8.59E-05,1.07E-05,7.06E-06,
,,,,,,,,,,,,,,TRUE,,,,16,[0. 0.],0.000168033,2.11E-05,1.39E-05,
,,,,,,,,,,,,,,TRUE,,,,32,[0. 0.],0.000600607,4.17E-05,2.73E-05,
,,,,,,,,,,,,,,TRUE,,,,64,[0. 0.],0.00263951,0.000170428,0.000112125,
,,,,,,,,,,,,,,TRUE,,,,128,[0. 0.],0.015389375,0.000340492,0.000220171,
,,,,,,,,,,,,,,TRUE,,,,256,[0. 0.],,,,
